"1321456611043340288",2020-10-28,102,733,"Requiring 1) moderation process and practices to be published, 2) a straightforward process to appeal decisions, and 3) best efforts around algorithmic choice, are suggestions to address the concerns we all have going forward. And they’re all achievable in short order."
"1317081843443912706",2020-10-16,2109,6964,"Straight blocking of URLs was wrong, and we updated our policy and enforcement to fix. Our goal is to attempt to add context, and now we have capabilities to do that. https:\/\/t.co\/ZLUw3YD887"
"1296111517562281985",2020-08-19,286,1552,"Our new transparency center https:\/\/t.co\/JJsAIMnoRr"
"1288860272250126340",2020-07-30,58,467,"The power of the internet is only as good as the power it gives to individual people. The more we do to advance that, the stronger it becomes. This underlies all else. But there are two emergent and growing threats."
"1268007258316656640",2020-06-03,301,2035,"The principles:\n1. Decrease potential for likely harm\n2. Decrease harmful bias &amp; incentives\n3. Decrease reliance on content removal\n4. Increase diverse perspectives\n5. Increase public accountability"
"1204766085037248512",2019-12-11,598,3220,"Finally, new technologies have emerged to make a decentralized approach more viable. Blockchain points to a series of decentralized solutions for open and durable hosting, governance, and even monetization. Much work to be done, but the fundamentals are there."
"1227410580534784000",2020-02-12,1812,14156,"Really sad Andrew is dropping out. He’s an incredibly authentic person who was focused on solving the big existential problems facing the world. Thank you Andrew for bringing universal basic income back into the national conversation. It’s well overdue. #yanggangforever https:\/\/t.co\/hwdeXSPba0"
"1230982556280975360",2020-02-21,126,1676,"I’ve discovered the way to make slack grind to a crawl and crash repeatedly"
