date,volume,open,open_difference_daily,open_difference_weekly,close,close_difference_daily,close_difference_weekly,low,low_difference_daily,low_difference_weekly,high,high_difference_daily,high_difference_weekly
2016/01/07,17753520.0000,42.8380,-1.162,-3.46,43.1300,-0.678,-2.66,42.7340,-0.462,-2.374,43.6880,-0.322,-2.708
2016/01/08,17861800.0000,43.5720,0.734,-2.44,42.2000,-0.93,-5.238,42.1540,-0.58,-3.7554,44.0880,0.4,-3.456
2016/01/11,20454215.0000,42.8020,-0.77,-4.518,41.5700,-0.63,-6.048,40.6000,-1.554,-6.5341,42.8900,-1.198,-5.8368
2016/01/12,15395255.0000,42.3200,-0.482,-5.382,41.9940,0.424,-6.008,41.0620,0.462,-6.612,42.7479,-0.1421,-5.9421
2016/01/13,20604965.0000,42.4020,0.082,-3.742,40.0620,-1.932,-4.62,40.0000,-1.062,-3.8,42.5300,-0.2179,-3.746
2016/01/14,32452895.0000,40.4420,-1.96,-4.83,41.2360,1.174,-3.45,38.6760,-1.324,-5.324,42.0000,-0.53,-3.378
2016/01/15,26628865.0000,39.7940,-0.648,-4.206,40.9980,-0.238,-2.81,39.4500,0.774,-3.746,41.0140,-0.986,-2.996
2016/01/19,20156355.0000,41.7420,1.948,-1.096,40.9440,-0.054,-2.186,40.1560,0.706,-2.578,42.0940,1.08,-1.594
2016/01/20,29130550.0000,39.8800,-1.862,-3.692,39.7400,-1.204,-2.46,38.2500,-1.906,-3.904,40.2560,-1.838,-3.832
2016/01/21,15822120.0000,40.3100,0.43,-2.492,39.9940,0.254,-1.576,39.0040,0.754,-1.596,40.6460,0.39,-2.244
2016/01/22,15610330.0000,40.9602,0.6502,-1.3598,40.5100,0.516,-1.484,39.8060,0.802,-1.256,41.1000,0.454,-1.6479
2016/01/25,13477040.0000,40.0120,-0.9482,-2.39,39.2760,-1.234,-0.786,39.1760,-0.63,-0.824,40.7140,-0.386,-1.816
2016/01/26,24784590.0000,39.3400,-0.672,-1.102,38.7120,-0.564,-2.524,37.7760,-1.4,-0.9,39.5640,-1.15,-2.436
2016/01/27,17886765.0000,38.4760,-0.864,-1.318,37.6140,-1.098,-3.384,37.1540,-0.622,-2.296,38.6520,-0.912,-2.362
2016/01/28,22931640.0000,38.1580,-0.318,-3.584,37.9400,0.326,-3.004,36.4820,-0.672,-3.674,38.2560,-0.396,-3.838
2016/01/29,14244645.0000,37.9900,-0.168,-1.89,38.2400,0.3,-1.5,37.6160,1.134,-0.634,38.7480,0.492,-1.508
2016/02/01,26478425.0000,37.7520,-0.238,-2.558,39.3880,1.148,-0.606,36.5500,-1.066,-2.454,39.9040,1.156,-0.742
2016/02/02,28824085.0000,38.4840,0.732,-2.4762,36.5560,-2.832,-3.954,36.0460,-0.504,-3.76,38.6240,-1.28,-2.476
2016/02/03,39638200.0000,36.7180,-1.766,-3.294,34.6960,-1.86,-4.58,34.0360,-2.01,-5.14,36.7880,-1.836,-3.926
2016/02/04,21897210.0000,34.1400,-2.578,-5.2,35.0660,0.37,-3.646,33.3980,-0.638,-4.378,35.1960,-1.592,-4.368
2016/02/05,47172475.0000,34.2600,0.12,-4.216,32.5200,-2.546,-5.094,31.5488,-1.8492,-5.6052,34.6000,-0.596,-4.052
2016/02/08,46533770.0000,31.4210,-2.839,-6.737,29.5980,-2.922,-8.342,29.2000,-2.3488,-7.282,31.4300,-3.17,-6.826
2016/02/09,43198305.0000,28.4640,-2.957,-9.526,29.6500,0.052,-8.59,28.2100,-0.99,-9.406,31.9580,0.528,-6.79
2016/02/10,50523450.0000,30.1000,1.636,-7.652,28.7340,-0.916,-10.654,28.3480,0.138,-8.202,30.9940,-0.964,-8.91
2016/02/11,71184500.0000,30.4000,0.3,-8.084,30.0940,1.36,-6.462,29.4000,1.052,-6.646,32.6520,1.658,-5.972
2016/02/12,36166320.0000,31.0000,0.6,-5.718,30.2080,0.114,-4.488,28.7400,-0.66,-5.296,31.4020,-1.25,-5.386
2016/02/16,27808190.0000,31.7400,0.74,-2.4,31.0340,0.826,-4.032,30.8220,2.082,-2.576,32.5900,1.188,-2.606
2016/02/17,29101320.0000,31.8000,0.06,-2.46,33.7360,2.702,1.216,31.3360,0.514,-0.2128,33.8680,1.278,-0.732
2016/02/18,19415535.0000,34.4840,2.684,3.063,33.3540,-0.382,3.756,32.9540,1.618,3.754,34.5900,0.722,3.16
2016/02/19,14779160.0000,32.7320,-1.752,4.268,33.3160,-0.038,3.666,32.5000,-0.454,4.29,33.4980,-1.092,1.54
2016/02/22,25276700.0000,34.0240,1.292,3.924,35.5480,2.232,6.814,33.9700,1.47,5.622,35.7820,2.284,4.788
2016/02/23,29914965.0000,35.2320,1.208,4.832,35.4420,-0.106,5.348,34.7360,0.766,5.336,36.3460,0.564,3.694
2016/02/24,26926845.0000,34.5500,-0.682,3.55,35.8000,0.358,5.592,33.5680,-1.168,4.828,35.9000,-0.446,4.498
2016/02/25,28635040.0000,35.7300,1.18,3.99,37.4860,1.686,6.452,35.0400,1.472,4.218,37.7038,1.8038,5.1138
2016/02/26,30270305.0000,37.7400,2.01,5.94,38.0680,0.582,4.332,37.0000,1.96,5.664,38.4000,0.6962,4.532
2016/02/29,22477010.0000,38.4800,0.74,3.996,38.3860,0.318,5.032,37.8444,0.8444,4.8904,39.2700,0.87,4.68
2016/03/01,33478520.0000,38.8500,0.37,6.118,37.2700,-1.116,3.954,36.5400,-1.3044,4.04,39.1897,-0.0803,5.6917
2016/03/02,24293155.0000,36.7460,-2.104,2.722,37.6680,0.398,2.12,36.3000,-0.24,2.33,37.7040,-1.4857,1.922
2016/03/03,24114965.0000,37.6560,0.91,2.424,39.1480,1.48,3.706,36.8440,0.544,2.108,39.4840,1.78,3.138
2016/03/04,32399290.0000,39.6000,1.944,5.05,40.2080,1.06,4.408,39.5000,2.656,5.932,40.8060,1.322,4.906
2016/03/07,26655485.0000,39.5360,-0.064,3.806,41.0580,0.85,3.572,39.4800,-0.02,4.44,41.9400,1.134,4.2362
2016/03/08,20877490.0000,40.7000,1.164,2.96,40.5200,-0.538,2.452,40.4400,0.96,3.44,41.5000,-0.44,3.1
2016/03/09,16037985.0000,40.9040,0.204,2.424,41.7440,1.224,3.358,40.5580,0.118,2.7136,41.8745,0.3745,2.6045
2016/03/10,25958010.0000,42.0000,1.096,3.15,41.0360,-0.708,3.766,40.1342,-0.4238,3.5942,42.6580,0.7835,3.4683
2016/03/11,16695740.0000,41.5860,-0.414,4.84,41.5000,0.464,3.832,41.0660,0.9318,4.766,41.8840,-0.774,4.18
2016/03/14,20311520.0000,42.5300,0.944,4.874,43.0300,1.53,3.882,42.1280,1.062,5.284,43.3440,1.46,3.86
2016/03/15,15666150.0000,42.8540,0.324,3.254,43.6680,0.638,3.46,42.3000,0.172,2.8,43.7940,0.45,2.988
2016/03/16,17559365.0000,43.6000,0.746,4.064,44.3860,0.718,3.328,43.4040,1.104,3.924,44.5160,0.722,2.576
2016/03/17,18845415.0000,44.2940,0.694,3.594,45.2760,0.89,4.756,44.0000,0.596,3.56,45.7000,1.184,4.2
2016/03/18,23523805.0000,45.8200,1.526,4.916,46.5480,1.272,4.804,45.6120,1.612,5.054,46.8960,1.196,5.0215
2016/03/21,26445070.0000,47.0680,1.248,5.068,47.6640,1.116,6.628,47.0000,1.388,6.8658,47.9760,1.08,5.318
2016/03/22,21515260.0000,47.4420,0.374,5.856,46.8480,-0.816,5.348,46.5116,-0.4884,5.4456,47.7980,-0.178,5.914
2016/03/23,24681015.0000,46.4740,-0.968,3.944,44.5160,-2.332,1.486,44.4060,-2.1056,2.278,46.9460,-0.852,3.602
2016/03/24,24783020.0000,43.1560,-3.318,0.302,45.5500,1.034,1.882,43.0000,-1.406,0.7,45.7775,-1.1685,1.9835
2016/03/28,19392995.0000,46.3220,3.166,2.722,46.0520,0.502,1.666,45.0000,2.0,1.596,46.9620,1.1845,2.446
2016/03/29,20030185.0000,45.9780,-0.344,1.684,46.0260,-0.026,0.75,45.0660,0.066,1.066,46.4760,-0.486,0.776
2016/03/30,20128350.0000,47.0180,1.04,1.198,45.3780,-0.648,-1.17,45.3000,0.234,-0.312,47.1000,0.624,0.204
2016/03/31,39878190.0000,45.8680,-1.15,-1.2,45.9540,0.576,-1.71,45.0020,-0.298,-1.998,47.4840,0.384,-0.492
2016/04/01,79899550.0000,48.9650,3.097,1.523,47.5180,1.564,0.67,46.6500,1.648,0.1384,49.5800,2.096,1.782
2016/04/04,66905800.0000,49.8240,0.859,3.35,49.3980,1.88,4.882,48.7280,2.078,4.322,50.4240,0.844,3.478
2016/04/05,49657350.0000,48.1000,-1.724,4.944,51.0940,1.696,5.544,48.0000,-0.728,5.0,51.3120,0.888,5.5345
2016/04/06,58478800.0000,50.7940,2.694,4.472,53.0840,1.99,7.032,50.6900,2.69,5.69,53.5480,2.236,6.586
2016/04/07,44227835.0000,53.2900,2.496,7.312,51.4400,-1.644,5.414,50.9020,0.212,5.836,53.8680,0.32,7.392
2016/04/08,36763535.0000,52.1000,-1.19,5.082,50.0140,-1.426,4.636,49.6040,-1.298,4.304,52.1640,-1.704,5.064
2016/04/11,45782020.0000,50.2000,-1.9,4.332,49.9840,-0.03,4.03,49.0600,-0.544,4.058,51.7980,-0.366,4.314
2016/04/12,28776755.0000,49.9000,-0.3,0.935,49.5640,-0.42,2.046,48.7260,-0.334,2.076,50.3600,-1.438,0.78
2016/04/13,24607770.0000,49.7020,-0.198,-0.122,50.9060,1.342,1.508,49.4660,0.74,0.738,51.1000,0.74,0.676
2016/04/14,20646290.0000,50.6000,0.898,2.5,50.3720,-0.534,-0.722,50.2100,0.744,2.21,51.3678,0.2678,0.0558
2016/04/15,18742965.0000,50.2620,-0.338,-0.532,50.9020,0.53,-2.182,49.8240,-0.386,-0.866,50.9200,-0.4478,-2.628
2016/04/18,21316230.0000,50.4460,0.184,-2.844,50.7760,-0.126,-0.664,50.3320,0.508,-0.57,51.6620,0.742,-2.206
2016/04/19,31756800.0000,50.6240,0.178,-1.476,49.4740,-1.302,-0.54,48.2502,-2.0818,-1.3538,50.8740,-0.788,-1.29
2016/04/20,25961715.0000,49.2520,-1.372,-0.948,49.9940,0.52,0.01,48.3000,0.0498,-0.76,50.7320,-0.142,-1.066
2016/04/21,13885395.0000,49.7980,0.546,-0.102,49.6580,-0.336,0.094,49.3820,1.082,0.656,50.1800,-0.552,-0.18
2016/04/22,18915630.0000,49.7780,-0.02,0.076,50.7500,1.092,-0.156,49.1420,-0.24,-0.324,50.8000,0.62,-0.3
2016/04/25,18325440.0000,50.6020,0.824,0.002,50.3640,-0.386,-0.008,50.1520,1.01,-0.058,51.4760,0.676,0.1082
2016/04/26,16088895.0000,50.4100,-0.192,0.148,50.7480,0.384,-0.154,49.8780,-0.274,0.054,51.1460,-0.33,0.226
2016/04/27,15990525.0000,50.5500,0.14,0.104,50.2940,-0.454,-0.482,49.8800,0.002,-0.452,51.0000,-0.146,-0.662
2016/04/28,12577975.0000,49.9700,-0.58,-0.654,49.5420,-0.752,0.068,49.4880,-0.392,1.2378,50.6860,-0.314,-0.188
2016/04/29,27025820.0000,49.6280,-0.342,0.376,48.1520,-1.39,-1.842,47.5620,-1.926,-0.738,49.6860,-1.0,-1.046
2016/05/02,19194790.0000,48.3000,-1.328,-1.498,48.3600,0.208,-1.298,46.9640,-0.598,-2.418,48.6380,-1.048,-1.542
2016/05/03,21481625.0000,47.4720,-0.828,-2.306,46.4640,-1.896,-4.286,46.3240,-0.64,-2.818,47.7820,-0.856,-3.018
2016/05/04,42750020.0000,46.0580,-1.414,-4.544,44.5120,-1.952,-5.852,44.0800,-2.244,-6.072,46.8920,-0.89,-4.584
2016/05/05,56241700.0000,45.6920,-0.366,-4.718,42.3060,-2.206,-8.442,41.9580,-2.122,-7.92,45.7280,-1.164,-5.418
2016/05/06,28418375.0000,42.1740,-3.518,-8.376,42.9860,0.68,-7.308,41.6220,-0.336,-8.258,43.2740,-2.454,-7.726
2016/05/09,23864960.0000,43.1440,0.97,-6.826,41.7840,-1.202,-7.758,41.3600,-0.262,-8.128,43.2300,-0.044,-7.456
2016/05/10,20340265.0000,41.5100,-1.634,-8.118,41.7380,-0.046,-6.414,41.0000,-0.36,-6.562,41.8940,-1.336,-7.792
2016/05/11,25798200.0000,41.5180,0.008,-6.782,41.7920,0.054,-6.568,41.2100,0.21,-5.754,43.0960,1.202,-5.542
2016/05/12,18250375.0000,42.2880,0.77,-5.184,41.4560,-0.336,-5.008,40.7314,-0.4786,-5.5926,42.3340,-0.762,-5.448
2016/05/13,14103080.0000,41.5560,-0.732,-4.502,41.5220,0.066,-2.99,41.3400,0.6086,-2.74,42.2400,-0.094,-4.652
2016/05/16,14728770.0000,41.6300,0.074,-4.062,41.6580,0.136,-0.648,41.5840,0.244,-0.374,42.6300,0.39,-3.098
2016/05/17,14210140.0000,41.8100,0.18,-0.364,40.9320,-0.726,-2.054,40.8040,-0.78,-0.818,41.9640,-0.666,-1.31
2016/05/18,27763460.0000,41.8300,0.02,-1.314,42.2340,1.302,0.45,41.5500,0.746,0.19,43.0620,1.098,-0.168
2016/05/19,34089610.0000,42.7240,0.894,1.214,43.0420,0.808,1.304,41.4600,-0.09,0.46,43.3580,0.296,1.464
2016/05/20,44982730.0000,43.3980,0.674,1.88,44.0560,1.014,2.264,43.2700,1.81,2.06,44.1100,0.752,1.014
2016/05/23,25483755.0000,43.9740,0.576,1.686,43.2440,-0.812,1.788,43.1720,-0.098,2.4406,44.5200,0.41,2.186
2016/05/24,15046635.0000,43.3200,-0.654,1.764,43.5820,0.338,2.06,43.0360,-0.136,1.696,43.7480,-0.772,1.508
2016/05/25,15656395.0000,43.5820,0.262,1.952,43.9160,0.334,2.258,43.3020,0.266,1.718,44.2720,0.524,1.642
2016/05/26,20332560.0000,44.1000,0.518,2.29,45.0240,1.108,4.092,43.8100,0.508,3.006,45.0520,0.78,3.088
2016/05/27,18228960.0000,44.9980,0.898,3.168,44.6080,-0.416,2.374,44.1500,0.34,2.6,45.1860,0.134,2.124
2016/05/31,13933410.0000,44.6080,-0.39,1.884,44.6460,0.038,1.604,44.3000,0.15,2.84,44.9499,-0.2361,1.5919
2016/06/01,14911350.0000,44.2960,-0.312,0.898,43.9120,-0.734,-0.144,43.3780,-0.922,0.108,44.4800,-0.4699,0.37
2016/06/02,10086395.0000,43.9180,-0.378,-0.056,43.7920,-0.12,0.548,43.4220,0.044,0.25,43.9818,-0.4982,-0.5382
2016/06/03,11130550.0000,44.0000,0.082,0.68,43.7980,0.006,0.216,43.6020,0.18,0.566,44.3880,0.4062,0.64
2016/06/06,11213170.0000,43.6000,-0.4,0.018,44.1360,0.338,0.22,43.0900,-0.512,-0.212,44.1800,-0.208,-0.092
2016/06/07,30970770.0000,44.4480,0.848,0.348,46.4680,2.332,1.444,44.3040,1.214,0.494,46.8880,2.708,1.836
2016/06/08,29825550.0000,46.7600,2.312,1.762,47.1040,0.636,2.496,46.5210,2.217,2.371,48.1690,1.281,2.983
2016/06/09,22271110.0000,46.9960,0.236,2.388,45.8720,-1.232,1.226,45.4120,-1.109,1.112,47.0660,-1.103,2.1161
2016/06/10,29972740.0000,45.4780,-1.518,1.182,43.7580,-2.114,-0.154,43.6843,-1.7277,0.3063,45.5940,-1.472,1.114
2016/06/13,20939165.0000,43.9000,-1.578,-0.018,43.5740,-0.184,-0.218,43.5320,-0.1523,0.11,45.1540,-0.44,1.1722
2016/06/14,17879110.0000,43.7760,-0.124,-0.224,42.9920,-0.582,-0.806,42.5060,-1.026,-1.096,44.4400,-0.714,0.052
2016/06/15,14525010.0000,43.3900,-0.386,-0.21,43.5400,0.548,-0.596,43.0260,0.52,-0.064,44.3800,-0.06,0.2
2016/06/16,12193460.0000,43.4840,0.094,-0.964,43.5860,0.046,-2.882,42.7000,-0.326,-1.604,43.6080,-0.772,-3.28
2016/06/17,15538670.0000,43.5620,0.078,-3.198,43.0940,-0.492,-4.01,42.9000,0.2,-3.621,43.9980,0.39,-4.171
2016/06/20,17748840.0000,43.9000,0.338,-3.096,43.9400,0.846,-1.932,43.6460,0.746,-1.766,44.7500,0.752,-2.316
2016/06/21,14278095.0000,44.1360,0.236,-1.342,43.9220,-0.018,0.164,43.7620,0.116,0.0777,44.5138,-0.2362,-1.0802
2016/06/22,118530500.0000,39.8940,-4.242,-4.006,39.3320,-4.59,-4.242,39.1500,-4.612,-4.382,41.1900,-3.3238,-3.964
2016/06/23,50490950.0000,39.1380,-0.756,-4.638,39.2800,-0.052,-3.712,38.4260,-0.724,-4.08,39.5100,-1.68,-4.93
2016/06/24,34944745.0000,38.0100,-1.128,-5.38,38.6300,-0.65,-4.91,37.9460,-0.48,-5.08,39.0240,-0.486,-5.356
2016/06/27,36059115.0000,38.1720,0.162,-5.312,39.7100,1.08,-3.876,37.5740,-0.372,-5.126,39.7620,0.738,-3.846
2016/06/28,30794980.0000,40.3780,2.206,-3.184,40.3580,0.648,-2.736,39.8820,2.308,-3.018,40.8100,1.048,-3.188
2016/06/29,29935600.0000,41.0260,0.648,-2.874,42.0380,1.68,-1.902,40.6000,0.718,-3.046,42.3560,1.546,-2.394
2016/06/30,23972200.0000,42.5940,1.568,-1.542,42.4560,0.418,-1.466,41.8040,1.204,-1.958,42.7000,0.344,-1.8138
2016/07/01,26980150.0000,41.2280,-1.366,1.334,43.3000,0.844,3.968,41.2000,-0.604,2.05,43.6480,0.948,2.458
2016/07/05,25849160.0000,41.9460,0.718,2.808,42.7960,-0.504,3.516,41.6000,0.4,3.174,42.9088,-0.7392,3.3988
2016/07/06,24551425.0000,42.0000,0.054,3.99,42.8880,0.092,4.258,41.8000,0.2,3.854,43.0460,0.1372,4.022
2016/07/07,18016925.0000,42.6200,0.62,4.448,43.1880,0.3,3.478,42.6020,0.802,5.028,43.6240,0.578,3.862
2016/07/08,20335655.0000,43.5600,0.94,3.182,43.3560,0.168,2.998,42.9000,0.298,3.018,43.9620,0.338,3.152
2016/07/11,26845330.0000,43.9920,0.432,2.966,44.9560,1.6,2.918,43.9020,1.002,3.302,45.3560,1.394,3.0
2016/07/12,22869375.0000,44.8200,0.828,2.226,44.9300,-0.026,2.474,44.6440,0.742,2.84,45.5000,0.144,2.8
2016/07/13,17703495.0000,45.1000,0.28,3.872,44.5060,-0.424,1.206,44.0580,-0.586,2.858,45.1180,-0.382,1.47
2016/07/14,13289495.0000,44.6240,-0.476,2.678,44.3060,-0.2,1.51,44.2100,0.152,2.61,44.9880,-0.13,2.0792
2016/07/15,11154105.0000,44.5040,-0.12,2.504,44.0800,-0.226,1.192,43.9280,-0.282,2.128,44.5500,-0.438,1.504
2016/07/18,16972940.0000,43.9280,-0.576,1.308,45.2500,1.17,2.062,43.6600,-0.268,1.058,45.4180,0.868,1.794
2016/07/19,15237675.0000,45.0000,1.072,1.44,45.0520,-0.198,1.696,44.9500,1.29,2.05,45.8200,0.402,1.858
2016/07/20,12780595.0000,45.2940,0.294,1.302,45.6720,0.62,0.716,45.0000,0.05,1.098,45.9600,0.14,0.604
2016/07/21,22128780.0000,45.2000,-0.094,0.38,44.1000,-1.572,-0.83,43.8200,-1.18,-0.824,45.5694,-0.3906,0.0694
2016/07/22,12852310.0000,44.3980,-0.802,-0.702,44.4540,0.354,-0.052,43.7760,-0.044,-0.282,44.9000,-0.6694,-0.218
2016/07/25,22397415.0000,44.4540,0.056,-0.17,46.0020,1.548,1.696,44.2743,0.4983,0.0643,46.2780,1.378,1.29
2016/07/26,17136255.0000,45.5380,1.084,1.034,45.9020,-0.1,1.822,45.0600,0.7857,1.132,46.0000,-0.278,1.45
2016/07/27,14435140.0000,45.8680,0.33,1.94,45.6980,-0.204,0.448,45.3840,0.324,1.724,46.6720,0.672,1.254
2016/07/28,12077310.0000,45.5900,-0.278,0.59,46.1220,0.424,1.07,45.3200,-0.064,0.37,46.1520,-0.52,0.332
2016/07/29,15307870.0000,46.1400,0.55,0.846,46.9580,0.836,1.286,46.0480,0.728,1.048,47.0560,0.904,1.096
2016/08/01,20070240.0000,47.1000,0.96,1.9,46.0020,-0.956,1.902,45.8760,-0.172,2.056,47.3260,0.27,1.7566
2016/08/02,19643530.0000,45.8740,-1.226,1.476,45.4400,-0.562,0.986,44.2800,-1.596,0.504,45.9740,-1.352,1.074
2016/08/03,19043735.0000,45.4740,-0.4,1.02,45.1580,-0.282,-0.844,44.8420,0.562,0.5677,45.9398,-0.0342,-0.3382
2016/08/04,20710775.0000,45.1380,-0.336,-0.4,46.1220,0.964,0.22,44.4100,-0.432,-0.65,46.1720,0.2322,0.172
2016/08/05,15951710.0000,46.0000,0.862,0.132,46.0060,-0.116,0.308,45.4800,1.07,0.096,46.4000,0.228,-0.272
2016/08/08,11297325.0000,45.6000,-0.4,0.01,45.2320,-0.774,-0.89,45.2180,-0.262,-0.102,45.9200,-0.48,-0.232
2016/08/09,10998830.0000,45.3640,-0.236,-0.776,45.8160,0.584,-1.142,45.3300,0.112,-0.718,46.3075,0.3875,-0.7485
2016/08/10,11682480.0000,45.6480,0.284,-1.452,45.1300,-0.686,-0.872,44.9240,-0.406,-0.952,45.9740,-0.3335,-1.352
2016/08/11,9384795.0000,45.2340,-0.414,-0.64,44.9820,-0.148,-0.458,44.6820,-0.242,0.402,45.5140,-0.46,-0.46
2016/08/12,9059250.0000,45.0820,-0.152,-0.392,45.1220,0.14,-0.036,44.8080,0.126,-0.034,45.3300,-0.184,-0.6098
2016/08/15,10089820.0000,45.2040,0.122,0.066,45.1180,-0.004,-1.004,44.9860,0.178,0.576,45.9000,0.57,-0.272
2016/08/16,11255575.0000,45.0980,-0.106,-0.902,44.7220,-0.396,-1.284,44.6820,-0.304,-0.798,45.4380,-0.462,-0.962
2016/08/17,8932040.0000,44.8660,-0.232,-0.734,44.6480,-0.074,-0.584,44.5600,-0.122,-0.658,44.9660,-0.472,-0.954
2016/08/18,8496500.0000,44.7640,-0.102,-0.6,44.7020,0.054,-1.114,44.4580,-0.102,-0.872,45.1320,0.166,-1.1755
