"1315442270942818305",2020-10-12,849,9985,"The fires across the West Coast and storms hitting the South are a tragic reminder of what’s at stake if we fail to take urgent &amp; bold action against climate change. Grateful to the employees who joined Apple in donating to relief efforts &amp; support for those who’ve lost so much."
"1313100720732696577",2020-10-05,11130,70233,"“A great soul never dies. It brings us together again and again.” — Maya Angelou. You’re always with us Steve, your memory connects and inspires us every day. https:\/\/t.co\/X85bjObkPK"
"1307109632607956993",2020-09-19,3957,24405,"Ruth Bader Ginsburg spent her life in pursuit of an equal world. She fought for the unheard, and through her decisions, she changed the course of American history. We can never repay what she has given us, but we all can honor her legacy by working toward true equality, together. https:\/\/t.co\/lh6bioRuED"
"1299320465282875392",2020-08-28,657,5730,"On this day in 1963, thousands joined Dr. King to remind America of the fierce urgency of now. All these years later that urgency remains, as does the call to realize his dream and honor his life by making this country a place where justice is a reality for all of God’s children."
"1285550582200061952",2020-07-21,3372,21406,"By 2030, Apple’s entire business will be carbon neutral — from supply chain to the power you use in every device we make. The planet we share can’t wait, and we want to be a ripple in the pond that creates a much larger change. https:\/\/t.co\/bltmlnau1X"
"1192122998200754176",2019-11-06,1395,9606,"At Apple, privacy is built into everything we make. You decide what you share, how you share it, and who you share it with. Here’s how we protect your data. https:\/\/t.co\/TSJg1bJlAn"
"1178376734980411392",2019-09-29,336,3553,"To everyone at Apple and around the world celebrating #RoshHashanah, sending wishes for a happy, healthy and peaceful New Year! Shanah Tovah u’Metuka! שנה טובה ומתוקה"
"1072148298272657410",2018-12-10,2012,9593,"“All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.” 70 years ago, the UN Declaration of Human Rights gave us a blueprint for a better world. #HumanRightsDay"
